Auswertung fÃ¼r: V101220_Charakter_Daten.txt
Tenside: V101220 Mn: 618.283774980164 Mw: 709.1621952602341 PDI: 1.1469849670290728 EOGruppen: 6.772744525559491 CO2 Gruppen: 4.435487184900373 CO2 Gehalt: 27.52

Summe XI:0.9999999999992376 Summe WI0.9999999999992376
M/Z Relativ xi xi*Mi ni*MI wi=(ni*Mi)/SUMME(ni*MI) mi*wi
201.2 0.01 2.2808033901849184E-6 4.5889764210520553E-4 2.012 7.422120079407315E-7 1.4933305599767517E-4
201.21 0.0 0.0 0.0 0.0 0.0 0.0
201.24 0.0 0.0 0.0 0.0 0.0 0.0
201.25 0.01 2.2808033901849184E-6 4.590116822747148E-4 2.0125 7.423964542647726E-7 1.4940728642078547E-4
201.26 0.01 2.2808033901849184E-6 4.5903449030861666E-4 2.0126 7.424333435295807E-7 1.494221347187634E-4
201.27 0.0 0.0 0.0 0.0 0.0 0.0
201.27 0.0 0.0 0.0 0.0 0.0 0.0
201.28 0.0 0.0 0.0 0.0 0.0 0.0
201.32 0.01 2.2808033901849184E-6 4.5917133851202773E-4 2.0132 7.426546791184297E-7 1.4951124000012227E-4
201.33 0.01 2.2808033901849184E-6 4.5919414654592964E-4 2.0133 7.426915683832381E-7 1.4952609346259734E-4
201.36 0.01 2.2808033901849184E-6 4.592625706476352E-4 2.0136000000000003 7.428022361776627E-7 1.4957065827673417E-4
201.38 0.01 2.2808033901849184E-6 4.5930818671543886E-4 2.0138 7.428760147072789E-7 1.496003718417518E-4
201.41 0.0 0.0 0.0 0.0 0.0 0.0
201.43 0.01 2.2808033901849184E-6 4.5942222688494813E-4 2.0143 7.430604610313199E-7 1.4967466866553877E-4
201.44 0.01 2.2808033901849184E-6 4.5944503491884993E-4 2.0144 7.430973502961281E-7 1.4968953024365204E-4
201.47 0.0 0.0 0.0 0.0 0.0 0.0
201.47 0.0 0.0 0.0 0.0 0.0 0.0
201.48 0.01 2.2808033901849184E-6 4.5953626705445735E-4 2.0148 7.432449073553608E-7 1.4974898393395808E-4
201.48 0.01 2.2808033901849184E-6 4.5953626705445735E-4 2.0148 7.432449073553608E-7 1.4974898393395808E-4
201.5 0.01 2.2808033901849184E-6 4.5958188312226106E-4 2.015 7.433186858849772E-7 1.497787152058229E-4
201.52 0.0 0.0 0.0 0.0 0.0 0.0
201.52 0.01 2.2808033901849184E-6 4.5962749919006477E-4 2.0152 7.433924644145935E-7 1.498084494288289E-4
201.53 0.01 2.2808033901849184E-6 4.596503072239666E-4 2.0153 7.434293536794016E-7 1.4982331764700982E-4
201.55 0.0 0.0 0.0 0.0 0.0 0.0
201.56 0.01 2.2808033901849184E-6 4.5971873132567213E-4 2.0156 7.435400214738263E-7 1.4986792672826442E-4
201.59 0.02 4.561606780369837E-6 9.195743108547554E-4 4.0318000000000005 1.4873013785365018E-6 2.998250848991734E-4
201.59 0.0 0.0 0.0 0.0 0.0 0.0
201.6 0.0 0.0 0.0 0.0 0.0 0.0
201.61 0.01 2.2808033901849184E-6 4.598327714951814E-4 2.0161000000000002 7.437244677978673E-7 1.4994228995272806E-4
201.61 0.0 0.0 0.0 0.0 0.0 0.0
201.61 0.0 0.0 0.0 0.0 0.0 0.0
201.62 0.0 0.0 0.0 0.0 0.0 0.0
201.63 0.0 0.0 0.0 0.0 0.0 0.0
201.63 0.01 2.2808033901849184E-6 4.5987838756298506E-4 2.0163 7.437982463274837E-7 1.4997204040701054E-4
201.73 0.01 2.2808033901849184E-6 4.6010646790200355E-4 2.0173 7.441671389755656E-7 1.5012083694554085E-4
201.75 0.01 2.2808033901849184E-6 4.6015208396980726E-4 2.0175 7.442409175051819E-7 1.5015060510667044E-4
201.76 0.01 2.2808033901849184E-6 4.601748920037091E-4 2.0176 7.4427780676999E-7 1.5016549029391317E-4
201.8 0.0 0.0 0.0 0.0 0.0 0.0
201.81 0.01 2.2808033901849184E-6 4.602889321732184E-4 2.0181 7.444622530940309E-7 1.5023992729690637E-4
201.84 0.01 2.2808033901849184E-6 4.6035735627492395E-4 2.0184 7.445729208884556E-7 1.5028459835212586E-4
201.87 0.01 2.2808033901849184E-6 4.6042578037662946E-4 2.0187 7.446835886828801E-7 1.50329276047413E-4
201.87 0.0 0.0 0.0 0.0 0.0 0.0
201.9 0.01 2.2808033901849184E-6 4.60494204478335E-4 2.019 7.447942564773047E-7 1.5037396038276784E-4
201.9 0.0 0.0 0.0 0.0 0.0 0.0
201.97 0.0 0.0 0.0 0.0 0.0 0.0
201.97 0.0 0.0 0.0 0.0 0.0 0.0
201.98 0.01 2.2808033901849184E-6 4.606766687495498E-4 2.0198 7.450893705957702E-7 1.5049315107293365E-4
202.0 0.0 0.0 0.0 0.0 0.0 0.0
202.01 0.0 0.0 0.0 0.0 0.0 0.0
202.02 0.01 2.2808033901849184E-6 4.607679008851572E-4 2.0202 7.452369276550029E-7 1.505527641248637E-4
202.04 0.0 0.0 0.0 0.0 0.0 0.0
202.08 0.0 0.0 0.0 0.0 0.0 0.0
202.09 0.0 0.0 0.0 0.0 0.0 0.0
202.09 0.01 2.2808033901849184E-6 4.6092755712247015E-4 2.0209 7.454951525086603E-7 1.5065711537047517E-4
202.1 0.0 0.0 0.0 0.0 0.0 0.0
202.1 0.01 2.2808033901849184E-6 4.60950365156372E-4 2.021 7.455320417734684E-7 1.5067202564241795E-4
202.11 0.0 0.0 0.0 0.0 0.0 0.0
202.11 0.0 0.0 0.0 0.0 0.0 0.0
202.13 0.05 1.1404016950924591E-5 0.0023050939462903874 10.1065 3.728213547839465E-6 7.53583804424791E-4
202.13 0.03 6.842410170554754E-6 0.0013830563677742324 6.063899999999999 2.2369281287036786E-6 4.5215028265487456E-4
202.13 0.01 2.2808033901849184E-6 4.6101878925807756E-4 2.0213 7.456427095678931E-7 1.5071676088495821E-4
202.15 0.0 0.0 0.0 0.0 0.0 0.0
202.17 0.01 2.2808033901849184E-6 4.6111002139368493E-4 2.0217 7.457902666271258E-7 1.5077641820400602E-4
202.19 0.0 0.0 0.0 0.0 0.0 0.0
202.19 0.0 0.0 0.0 0.0 0.0 0.0
202.24 0.0 0.0 0.0 0.0 0.0 0.0
202.26 0.01 2.2808033901849184E-6 4.6131529369880156E-4 2.0225999999999997 7.461222700103993E-7 1.5091069033230334E-4
202.28 0.0 0.0 0.0 0.0 0.0 0.0
202.29 0.01 2.2808033901849184E-6 4.613837178005071E-4 2.0229 7.462329378048239E-7 1.5095546098853782E-4
202.32 0.01 2.2808033901849184E-6 4.614521419022127E-4 2.0232 7.463436055992485E-7 1.5100023828483995E-4
202.34 0.0 0.0 0.0 0.0 0.0 0.0
202.35 0.01 2.2808033901849184E-6 4.615205660039182E-4 2.0235 7.464542733936731E-7 1.5104502222120975E-4
202.35 0.0 0.0 0.0 0.0 0.0 0.0
202.37 0.0 0.0 0.0 0.0 0.0 0.0
202.42 0.01 2.2808033901849184E-6 4.616802222412311E-4 2.0242 7.467124982473304E-7 1.5114954389522462E-4
202.42 0.0 0.0 0.0 0.0 0.0 0.0
202.45 0.01 2.2808033901849184E-6 4.617486463429367E-4 2.0244999999999997 7.468231660417549E-7 1.5119434996515327E-4
202.47 0.01 2.2808033901849184E-6 4.617942624107404E-4 2.0247 7.468969445713714E-7 1.5122422436736558E-4
202.5 0.01 2.2808033901849184E-6 4.6186268651244596E-4 2.025 7.470076123657959E-7 1.512690415040737E-4
202.52 0.01 2.2808033901849184E-6 4.6190830258024967E-4 2.0252000000000003 7.470813908954125E-7 1.5129892328413894E-4
202.55 0.0 0.0 0.0 0.0 0.0 0.0
202.6 0.01 2.2808033901849184E-6 4.6209076685146445E-4 2.026 7.473765050138777E-7 1.5141847991581163E-4
202.6 0.01 2.2808033901849184E-6 4.6209076685146445E-4 2.026 7.473765050138777E-7 1.5141847991581163E-4
202.61 0.01 2.2808033901849184E-6 4.6211357488536636E-4 2.0261 7.474133942786859E-7 1.5143342781480458E-4
202.61 0.01 2.2808033901849184E-6 4.6211357488536636E-4 2.0261 7.474133942786859E-7 1.5143342781480458E-4
202.61 0.01 2.2808033901849184E-6 4.6211357488536636E-4 2.0261 7.474133942786859E-7 1.5143342781480458E-4
202.61 0.01 2.2808033901849184E-6 4.6211357488536636E-4 2.0261 7.474133942786859E-7 1.5143342781480458E-4
202.63 0.01 2.2808033901849184E-6 4.6215919095317E-4 2.0263 7.474871728083024E-7 1.514633258261463E-4
202.65 0.01 2.2808033901849184E-6 4.622048070209737E-4 2.0265 7.475609513379187E-7 1.514932267886292E-4
202.66 0.0 0.0 0.0 0.0 0.0 0.0
202.68 0.0 0.0 0.0 0.0 0.0 0.0
202.7 0.01 2.2808033901849184E-6 4.6231884719048294E-4 2.027 7.477453976619597E-7 1.5156799210607922E-4
202.7 0.01 2.2808033901849184E-6 4.6231884719048294E-4 2.027 7.477453976619597E-7 1.5156799210607922E-4
202.71 0.0 0.0 0.0 0.0 0.0 0.0
202.71 0.0 0.0 0.0 0.0 0.0 0.0
202.74 0.01 2.2808033901849184E-6 4.6241007932609036E-4 2.0274 7.478929547211925E-7 1.5162781764017458E-4
202.74 0.0 0.0 0.0 0.0 0.0 0.0
202.75 0.01 2.2808033901849184E-6 4.624328873599922E-4 2.0275 7.479298439860006E-7 1.516427758681616E-4
202.8 0.0 0.0 0.0 0.0 0.0 0.0
202.81 0.01 2.2808033901849184E-6 4.625697355634033E-4 2.0281000000000002 7.481511795748498E-7 1.517325407295753E-4
202.82 0.01 2.2808033901849184E-6 4.6259254359730514E-4 2.0282 7.48188068839658E-7 1.5174750412205943E-4
202.82 0.0 0.0 0.0 0.0 0.0 0.0
202.84 0.01 2.2808033901849184E-6 4.6263815966510885E-4 2.0284 7.482618473692743E-7 1.517774331203836E-4
202.87 0.0 0.0 0.0 0.0 0.0 0.0
202.88 0.01 2.2808033901849184E-6 4.627293918007162E-4 2.0288 7.48409404428507E-7 1.518372999704555E-4
202.88 0.0 0.0 0.0 0.0 0.0 0.0
202.9 0.01 2.2808033901849184E-6 4.627750078685199E-4 2.029 7.484831829581234E-7 1.5186723782220326E-4
202.9 0.0 0.0 0.0 0.0 0.0 0.0
202.92 0.0 0.0 0.0 0.0 0.0 0.0
202.95 0.0 0.0 0.0 0.0 0.0 0.0
202.99 0.0 0.0 0.0 0.0 0.0 0.0
203.0 0.01 2.2808033901849184E-6 4.630030882075384E-4 2.0300000000000002 7.488520756062053E-7 1.5201697134805967E-4
203.01 0.0 0.0 0.0 0.0 0.0 0.0
203.03 0.0 0.0 0.0 0.0 0.0 0.0
203.03 0.0 0.0 0.0 0.0 0.0 0.0
203.08 0.0 0.0 0.0 0.0 0.0 0.0
203.1 0.0 0.0 0.0 0.0 0.0 0.0
203.11 0.01 2.2808033901849184E-6 4.632539765804588E-4 2.0311000000000003 7.492578575190954E-7 1.521817634407035E-4
203.11 0.01 2.2808033901849184E-6 4.632539765804588E-4 2.0311000000000003 7.492578575190954E-7 1.521817634407035E-4
203.16 0.0 0.0 0.0 0.0 0.0 0.0
203.17 0.01 2.2808033901849184E-6 4.6339082478386983E-4 2.0317 7.494791931079444E-7 1.5227168766374105E-4
203.18 0.23 5.245847797425312E-5 0.010658513554808749 46.7314 1.7238869894573312E-5 0.003502593585179406
203.18 0.0 0.0 0.0 0.0 0.0 0.0
203.18 0.02 4.561606780369837E-6 9.268272656355435E-4 4.0636 1.4990321647455054E-6 3.045733552329918E-4
203.22 0.01 2.2808033901849184E-6 4.635048649533791E-4 2.0322 7.496636394319854E-7 1.5234664480536807E-4
203.23 0.01 2.2808033901849184E-6 4.6352767298728096E-4 2.0322999999999998 7.497005286967936E-7 1.5236163844704935E-4
203.26 0.0 0.0 0.0 0.0 0.0 0.0
203.29 0.0 0.0 0.0 0.0 0.0 0.0
203.34 0.0 0.0 0.0 0.0 0.0 0.0
203.34 0.0 0.0 0.0 0.0 0.0 0.0
203.35 0.0 0.0 0.0 0.0 0.0 0.0
203.37 0.0 0.0 0.0 0.0 0.0 0.0
203.37 0.0 0.0 0.0 0.0 0.0 0.0
203.39 0.0 0.0 0.0 0.0 0.0 0.0
203.39 0.0 0.0 0.0 0.0 0.0 0.0
203.39 0.0 0.0 0.0 0.0 0.0 0.0
203.39 0.01 2.2808033901849184E-6 4.638926015297105E-4 2.0339 7.502907569337246E-7 1.5260163705275024E-4
203.4 0.0 0.0 0.0 0.0 0.0 0.0
203.41 0.0 0.0 0.0 0.0 0.0 0.0
203.43 0.0 0.0 0.0 0.0 0.0 0.0
203.43 0.01 2.2808033901849184E-6 4.6398383366531794E-4 2.0343 7.504383139929574E-7 1.5266166621558732E-4
203.43 0.01 2.2808033901849184E-6 4.6398383366531794E-4 2.0343 7.504383139929574E-7 1.5266166621558732E-4
203.43 0.01 2.2808033901849184E-6 4.6398383366531794E-4 2.0343 7.504383139929574E-7 1.5266166621558732E-4
203.44 0.01 2.2808033901849184E-6 4.640066416992198E-4 2.0344 7.504752032577656E-7 1.5267667535075983E-4
203.46 0.01 2.2808033901849184E-6 4.640522577670235E-4 2.0346 7.50548981787382E-7 1.5270669583446075E-4
203.49 0.0 0.0 0.0 0.0 0.0 0.0
203.5 0.01 2.2808033901849184E-6 4.6414348990263086E-4 2.035 7.506965388466147E-7 1.5276674565528609E-4
203.5 0.01 2.2808033901849184E-6 4.6414348990263086E-4 2.035 7.506965388466147E-7 1.5276674565528609E-4
203.51 0.01 2.2808033901849184E-6 4.641662979365327E-4 2.0351 7.507334281114228E-7 1.5278175995495565E-4
203.53 0.0 0.0 0.0 0.0 0.0 0.0
203.53 0.0 0.0 0.0 0.0 0.0 0.0
203.53 0.01 2.2808033901849184E-6 4.6421191400433643E-4 2.0353 7.508072066410392E-7 1.528117907676507E-4
203.55 0.01 2.2808033901849184E-6 4.6425753007214014E-4 2.0355000000000003 7.508809851706557E-7 1.5284182453148697E-4
203.56 0.0 0.0 0.0 0.0 0.0 0.0
203.56 0.01 2.2808033901849184E-6 4.64280338106042E-4 2.0356 7.509178744354638E-7 1.52856842520083E-4
203.57 0.0 0.0 0.0 0.0 0.0 0.0
203.59 0.01 2.2808033901849184E-6 4.6434876220774755E-4 2.0359000000000003 7.510285422298884E-7 1.52901900912583E-4
203.62 0.0 0.0 0.0 0.0 0.0 0.0
203.63 0.0 0.0 0.0 0.0 0.0 0.0
203.65 0.0 0.0 0.0 0.0 0.0 0.0
203.66 0.0 0.0 0.0 0.0 0.0 0.0
203.68 0.01 2.2808033901849184E-6 4.645540345128642E-4 2.0368 7.51360545613162E-7 1.5303711593048883E-4
203.72 0.0 0.0 0.0 0.0 0.0 0.0
203.74 0.01 2.2808033901849184E-6 4.6469088271627526E-4 2.0374000000000003 7.515818812020113E-7 1.5312729247609778E-4
203.74 0.01 2.2808033901849184E-6 4.6469088271627526E-4 2.0374000000000003 7.515818812020113E-7 1.5312729247609778E-4
203.75 0.0 0.0 0.0 0.0 0.0 0.0
203.78 0.01 2.2808033901849184E-6 4.647821148518827E-4 2.0378 7.517294382612438E-7 1.5318742492887626E-4
203.78 0.0 0.0 0.0 0.0 0.0 0.0
203.8 0.01 2.2808033901849184E-6 4.648277309196864E-4 2.0380000000000003 7.518032167908603E-7 1.5321749558197735E-4
203.82 0.01 2.2808033901849184E-6 4.6487334698749004E-4 2.0382 7.518769953204765E-7 1.5324756918621952E-4
203.84 0.0 0.0 0.0 0.0 0.0 0.0
203.84 0.01 2.2808033901849184E-6 4.6491896305529375E-4 2.0384 7.519507738500931E-7 1.53277645741603E-4
203.86 0.01 2.2808033901849184E-6 4.6496457912309746E-4 2.0386 7.520245523797095E-7 1.533077252481276E-4
203.9 0.01 2.2808033901849184E-6 4.650558112587049E-4 2.039 7.521721094389422E-7 1.5336789311460033E-4
203.91 0.0 0.0 0.0 0.0 0.0 0.0
203.93 0.0 0.0 0.0 0.0 0.0 0.0
203.94 0.0 0.0 0.0 0.0 0.0 0.0
203.95 0.0 0.0 0.0 0.0 0.0 0.0
203.97 0.0 0.0 0.0 0.0 0.0 0.0
203.99 0.01 2.2808033901849184E-6 4.652610835638215E-4 2.0399000000000003 7.525041128222159E-7 1.5350331397460384E-4
204.01 0.0 0.0 0.0 0.0 0.0 0.0
204.03 0.01 2.2808033901849184E-6 4.653523156994289E-4 2.0403000000000002 7.526516698814487E-7 1.5356352020591196E-4
204.03 0.0 0.0 0.0 0.0 0.0 0.0
204.04 0.01 2.2808033901849184E-6 4.6537512373333073E-4 2.0404 7.526885591462568E-7 1.5357857360820222E-4
204.06 0.01 2.2808033901849184E-6 4.6542073980113444E-4 2.0406 7.527623376758732E-7 1.5360868262613868E-4
204.06 0.01 2.2808033901849184E-6 4.6542073980113444E-4 2.0406 7.527623376758732E-7 1.5360868262613868E-4
204.06 0.0 0.0 0.0 0.0 0.0 0.0
204.07 0.01 2.2808033901849184E-6 4.654435478350363E-4 2.0407 7.527992269406814E-7 1.5362373824178484E-4
204.08 0.03 6.842410170554754E-6 0.0013963990676068142 6.1224 2.2585083486164687E-6 4.6091638378564895E-4
204.08 0.0 0.0 0.0 0.0 0.0 0.0
204.08 0.0 0.0 0.0 0.0 0.0 0.0
204.08 0.0 0.0 0.0 0.0 0.0 0.0
204.09 0.01 2.2808033901849184E-6 4.6548916390284E-4 2.0409 7.528730054702978E-7 1.536538516864331E-4
204.09 0.01 2.2808033901849184E-6 4.6548916390284E-4 2.0409 7.528730054702978E-7 1.536538516864331E-4
204.11 0.0 0.0 0.0 0.0 0.0 0.0
204.11 0.0 0.0 0.0 0.0 0.0 0.0
204.11 0.01 2.2808033901849184E-6 4.655347799706437E-4 2.0411 7.529467839999141E-7 1.5368396808222248E-4
204.12 0.0 0.0 0.0 0.0 0.0 0.0
204.12 0.01 2.2808033901849184E-6 4.6555758800454557E-4 2.0412 7.529836732647222E-7 1.536990273867951E-4
204.18 0.0 0.0 0.0 0.0 0.0 0.0
204.18 0.01 2.2808033901849184E-6 4.6569443620795664E-4 2.0418000000000003 7.532050088535715E-7 1.5378939870772223E-4
204.19 0.0 0.0 0.0 0.0 0.0 0.0
204.26 0.0 0.0 0.0 0.0 0.0 0.0
204.27 0.01 2.2808033901849184E-6 4.658997085130733E-4 2.0427 7.535370122368451E-7 1.5392500548962036E-4
204.28 0.0 0.0 0.0 0.0 0.0 0.0
204.29 0.01 2.2808033901849184E-6 4.6594532458087693E-4 2.0429 7.536107907664614E-7 1.539551484456804E-4
204.29 0.01 2.2808033901849184E-6 4.6594532458087693E-4 2.0429 7.536107907664614E-7 1.539551484456804E-4
204.31 0.01 2.2808033901849184E-6 4.659909406486807E-4 2.0431 7.536845692960778E-7 1.5398529435288165E-4
204.32 0.0 0.0 0.0 0.0 0.0 0.0
204.35 0.01 2.2808033901849184E-6 4.6608217278428806E-4 2.0435 7.538321263553106E-7 1.540455950207077E-4
204.36 0.0 0.0 0.0 0.0 0.0 0.0
204.41 0.0 0.0 0.0 0.0 0.0 0.0
204.42 0.01 2.2808033901849184E-6 4.66241829021601E-4 2.0442 7.54090351208968E-7 1.5415114959413723E-4
204.44 0.0 0.0 0.0 0.0 0.0 0.0
204.46 0.0 0.0 0.0 0.0 0.0 0.0
204.47 0.0 0.0 0.0 0.0 0.0 0.0
204.5 0.0 0.0 0.0 0.0 0.0 0.0
204.52 0.01 2.2808033901849184E-6 4.6646990936061953E-4 2.0452000000000004 7.5445924385705E-7 1.5430200455364385E-4
204.53 0.0 0.0 0.0 0.0 0.0 0.0
204.54 0.01 2.2808033901849184E-6 4.665155254284232E-4 2.0454 7.545330223866661E-7 1.5433218439896867E-4
204.54 0.01 2.2808033901849184E-6 4.665155254284232E-4 2.0454 7.545330223866661E-7 1.5433218439896867E-4
204.57 0.0 0.0 0.0 0.0 0.0 0.0
